short,long,atr_len,allow_long,allow_short,n_trades,realized_return_pct,cagr,max_dd_pct,dd_multiple,calmar,sharpe_ann,profit_factor,win_rate_pct,avg_hold_hours,total_slip,avg_slip_pct,probe_fixed,probe_tp_pct,probe_sl_pct,probe_slip_pct,probe_tie,k,k_scale,train_bars,test_bars,train_start_dt,train_end_dt,test_start_dt,test_end_dt
50,336,50,True,False,12,5.586413586413745,0.12152476416748637,1.1301511895336238,0.011301511895336238,10.752965204384347,2.0283567885194453,3.3319432860717986,83.33333333333333,9.083333333333334,0.0,0.19999999999999998,True,1.0,1.0,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,13.271228771228799,0.2874860914580393,2.9960003351428046,0.029960003351428045,9.59566286044278,2.705361224611361,3.607104307722514,72.72727272727273,33.090909090909086,0.0,0.19999999999999998,True,2.5,1.5,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,4.788211788211884,0.10434524165584969,1.1387271708470597,0.011387271708470597,9.163322376705112,1.6040705417686851,2.998748957464611,81.81818181818181,8.363636363636363,0.0,0.19999999999999998,True,1.0,1.0,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,6.2852147852149205,0.1380932822660419,1.5830777977649355,0.015830777977649355,8.723088812249692,2.6383745961450598,4.704150721224728,90.9090909090909,9.090909090909092,0.0,0.19999999999999998,True,1.0,1.5,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,11.574425574425641,0.24867828654449875,3.041562953279707,0.03041562953279707,8.17600327082988,2.076475082293276,2.705328230791894,66.66666666666667,31.583333333333332,0.0,0.19999999999999998,True,2.5,1.5,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,7.782217782217776,0.16511025136115842,2.1743072682431697,0.021743072682431697,7.593694496296595,1.4172050389108963,2.2994161801501316,54.54545454545455,25.545454545454547,0.0,0.19999999999999998,True,2.5,1.0,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,7.7822177822178675,0.16611094580296348,2.222634164426721,0.02222634164426721,7.473607148741372,1.7196868442710742,2.6242702251876855,63.63636363636363,20.818181818181817,0.0,0.19999999999999998,True,2.0,1.0,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,11.774225774225835,0.2547979399638012,3.9289991598591207,0.03928999159859121,6.485059670334398,2.0917023040331837,2.787382468911144,72.72727272727273,32.909090909090914,0.0,0.19999999999999998,True,2.5,2.0,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,11.774225774225796,0.2532166748881426,3.928999159859138,0.03928999159859138,6.444813668456495,2.083414539671613,2.7873824689111406,72.72727272727273,34.090909090909086,0.0,0.19999999999999998,True,2.5,2.0,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,9.279220779220905,0.19956478796884225,3.105445270755143,0.031054452707551434,6.426285784141822,2.0076008796998344,2.8228829359238863,72.72727272727273,26.454545454545453,0.0,0.19999999999999998,True,2.0,1.5,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,9.279220779220887,0.1983460143128306,3.1054452707551103,0.031054452707551104,6.387039442643322,1.619214239541112,2.3671622019429086,63.63636363636363,31.818181818181817,0.0,0.19999999999999998,True,2.5,1.5,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,6.584415584415693,0.1380377967425508,2.1982051352565075,0.021982051352565073,6.279568477417974,1.0628977743505663,1.9161801501251259,50.0,27.5,0.0,0.19999999999999998,True,2.5,1.0,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,6.584415584415619,0.13803779674254923,2.1982051352565413,0.021982051352565413,6.279568477417807,1.0628977743505572,1.9161801501251183,50.0,27.416666666666668,0.0,0.19999999999999998,True,2.5,1.0,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,6.584415584415747,0.14053467763722738,2.247612263452371,0.022476122634523713,6.252621055793836,1.2779412520474036,2.0994161801501607,58.333333333333336,20.25,0.0,0.19999999999999998,True,2.0,1.0,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,6.58441558441571,0.14053467763722693,2.247612263452372,0.02247612263452372,6.2526210557938136,1.2779412520473998,2.099416180150159,58.333333333333336,21.166666666666668,0.0,0.19999999999999998,True,2.0,1.0,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,336,50,True,False,11,5.786213786213903,0.1267842462880424,2.0486340886001586,0.020486340886001587,6.188720913780883,1.9440051008049952,3.635122838944574,90.9090909090909,9.181818181818182,0.0,0.19999999999999998,True,1.0,2.0,0.1,tp_first,734.7801796178094,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,4.588411588411781,0.0992765114015568,1.6085422733622128,0.016085422733622127,6.171831045139194,1.1726372638365872,2.3520753606123783,83.33333333333333,9.583333333333334,0.0,0.19999999999999998,True,1.0,1.5,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,336,50,True,False,12,5.586413586413637,0.12152476416748392,2.268856677894232,0.02268856677894232,5.356211582314372,1.2828454718371607,2.1659716430358857,66.66666666666667,10.833333333333334,0.0,0.19999999999999998,True,1.5,1.0,0.1,tp_first,1228.7918481244737,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
65,300,50,True,False,11,2.7922077922079187,0.060182531909368286,1.1607531826322615,0.011607531826322615,5.184782847021038,0.40294782572188487,1.777036419238301,72.72727272727273,8.909090909090908,0.0,0.19999999999999998,True,1.0,1.0,0.1,tp_first,1195.8077199325644,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
58,300,50,True,False,12,7.582417582417747,0.1626666681521447,3.1544247376729393,0.031544247376729395,5.156777595909485,1.396824721694788,2.1171622019429197,66.66666666666667,23.083333333333332,0.0,0.19999999999999998,True,2.0,1.5,0.1,tp_first,1075.1646395860841,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
50,300,50,True,False,11,2.792207792207864,0.05982445235849054,1.1607531826322794,0.011607531826322794,5.153933950267067,0.39611454776371796,1.777036419238284,72.72727272727273,8.090909090909092,0.0,0.19999999999999998,True,1.0,1.0,0.1,tp_first,791.0222214608456,1.0,12264,5256,2023-07-25 20:00:00,2024-12-17 19:00:00,2024-12-17 20:00:00,2025-07-24 19:00:00
